stop_name,avg_delay,p75_delay,factor,trip_count,route_count,lat,lon
City Civil Court,5.203,6.93,1.033,81,20,12.973,77.582
Clarence School,5.313,6.842,1.059,152,33,13.003,77.617
Coffee Day Hope Farm,5.828,7.715,1.162,518,43,12.98,77.752
Coles Park,8.084,11.062,1.605,1828,211,12.995,77.608
Coles Road,6.336,8.658,1.286,964,54,12.996,77.612
College Cross Byadarahalli,6.167,8.68,1.228,645,100,12.986,77.48
Commando Hospital,6.183,8.31,1.277,810,110,12.963,77.628
Concord Apartment Electronic City,5.218,6.84,1.048,136,21,12.841,77.652
Corporation,13.341,17.832,2.711,4995,681,12.968,77.589
Country Club Bagaluru,5.586,7.61,1.136,402,52,13.123,77.639
Crown Plaza,5.224,7.005,1.079,251,22,12.851,77.66
Crystal Apartment Sarjapura Road,5.846,7.832,1.188,578,61,12.868,77.767
Cubbon Park Metro Station,4.969,6.49,1.02,58,9,12.981,77.598
Cunningham Road,7.722,10.132,1.493,1508,163,12.988,77.594
C‌ Q A L,5.207,7.115,1.067,226,12,13.012,77.593
D Cross Doddaballapura,5.279,7.22,1.089,291,21,13.307,77.546
D Group Employees Layout Srigandhada Kaval,4.966,6.533,1.017,54,5,12.978,77.499
D Souza Circle,4.819,6.44,1.021,60,9,12.968,77.611
DHFL,5.739,7.682,1.175,610,23,13.199,77.696
Dalai Lama College,5.229,6.863,1.068,181,36,12.85,77.425
Dalmia Circle,4.95,6.502,1.03,80,16,12.906,77.595
Dargha,5.213,7.125,1.035,108,11,13.287,77.774
Dasanapura,6.163,8.332,1.254,755,95,12.748,77.774
Dasappanapalya,5.44,7.25,1.097,325,19,13.079,77.506
Dasarahalli Kere,5.132,6.9,1.033,102,10,12.986,77.542
Dasenahalli Cross,5.06,6.908,1.028,66,19,13.141,77.465
Dattatreya Temple Malleshwara,5.233,7.12,1.063,215,10,12.999,77.575
Dayananda Sagar College,5.268,6.953,1.048,142,18,12.909,77.565
Dayananda Sagar Vidya Samste,5.475,7.22,1.127,326,71,12.825,77.514
Deccan,5.213,6.982,1.088,257,34,12.902,77.627
Deepa Complex,5.781,7.572,1.181,578,49,12.967,77.505
Deepak Factory,6.065,8.135,1.257,731,111,13.047,77.501
Deepak Nursing Home,5.708,7.44,1.15,428,65,12.925,77.577
Deepanjalinagara,7.433,9.652,1.511,1615,145,12.954,77.536
Dell,5.273,7.033,1.05,162,13,12.953,77.64
Dell Domluru,5.055,6.762,1.056,187,11,12.953,77.641
Depot-02 Shanthinagara,4.919,6.6,1.024,88,1,12.954,77.595
Depot-03 Shanthinagara,5.066,6.68,1.02,72,1,12.955,77.596
Depot-04 Jayanagara,5.016,6.54,1.023,82,2,12.925,77.593
Depot-06 Gate,6.402,8.31,1.318,811,181,12.983,77.634
Depot-06 Indiranagara,5.05,6.86,1.026,94,1,12.982,77.634
Depot-07 Subhashnagara,4.982,6.59,1.029,106,1,12.979,77.572
Depot-08 Yashawanthapura,5.017,6.542,1.028,103,2,13.018,77.556
Depot-09 Peenya,5.242,6.94,1.027,97,2,13.02,77.5
Depot-10 Gate,5.787,7.312,1.188,488,104,13.028,77.632
Depot-10 Hennuru,4.969,6.572,1.02,70,2,13.026,77.632
Depot-11 Puttenahalli,4.864,6.41,1.023,82,2,13.111,77.579
Depot-12 Gate,6.115,8.18,1.232,628,115,12.905,77.471
Depot-12 Kengeri,5.155,6.812,1.061,222,4,12.904,77.473
Depot-13 Kathriguppe,4.858,6.49,1.026,96,1,12.925,77.554
Depot-14 RT Nagara,5.148,7.15,1.026,90,4,13.029,77.593
Depot-15 Koramangala,5.158,6.73,1.02,75,1,12.941,77.625
Depot-16 Deepanajalinagara,5.04,6.75,1.029,108,1,12.951,77.537
Depot-17 Chandra Layout,5.226,7.01,1.027,99,1,12.959,77.527
Depot-18 White Field,5.22,7.145,1.015,55,1,12.977,77.726
Depot-19 Electronic City,5.251,7.0,1.025,88,3,12.847,77.672
Depot-20 Banashankari,5.123,6.882,1.026,89,4,12.919,77.571
Depot-21 BEML Layout,5.005,6.48,1.025,92,1,12.907,77.52
Depot-23 Kalyana Nagara,4.791,6.44,1.019,66,2,13.027,77.639
Depot-24 Gate,5.331,7.16,1.11,333,39,13.003,77.682
Depot-24 ITI Layout,5.137,6.822,1.033,112,6,13.002,77.684
Depot-25 Gate,6.237,8.23,1.275,949,41,12.92,77.645
Depot-25 Gate (Central Silk Board),5.887,8.0,1.218,736,39,12.92,77.643
Depot-25 HSR Layout,5.026,6.885,1.021,78,1,12.92,77.645
Depot-26 Yeshawanthapura,5.239,6.732,1.026,96,1,13.019,77.555
Depot-27 Gate,5.198,6.91,1.052,161,17,12.78,77.634
Depot-27 Jigani,5.235,7.21,1.03,108,2,12.78,77.634
Depot-28 Hebbala,5.14,6.922,1.02,73,1,13.044,77.593
Depot-29 KR Puram,5.107,6.8,1.026,94,2,13.004,77.692
Depot-30 Puttenahalli,5.131,7.0,1.026,93,2,13.11,77.578
Depot-31 Gate,5.893,7.81,1.209,643,67,12.993,77.521
Depot-31 Summanahalli,5.077,6.79,1.029,104,2,12.993,77.522
Depot-32 Suryacity,5.33,6.882,1.031,114,2,12.79,77.707
Depot-33 Poornapragna layout,4.955,6.58,1.026,95,1,12.91,77.536
Depot-34 Gate,5.415,7.302,1.087,224,49,12.87,77.586
Depot-34 Kottanur,4.927,6.623,1.03,109,2,12.872,77.586
Depot-35 Gate,5.207,7.082,1.052,158,18,12.973,77.443
Depot-35 Kannalli,4.952,6.672,1.028,103,1,12.973,77.443
Depot-36 Bidadi,5.017,6.86,1.017,59,2,12.769,77.414
Depot-36 Gate,5.039,6.642,1.031,97,9,12.768,77.414
Depot-37 Kengeri,5.055,6.71,1.023,86,1,12.913,77.488
Depot-38 Chikkanagamangala,5.104,6.8,1.016,55,2,12.85,77.692
Depot-38 Gate,5.405,7.142,1.06,147,38,12.849,77.692
Depot-39 Hoskote,5.132,6.582,1.024,81,4,13.068,77.782
Depot-40 Dasanapura,5.104,6.895,1.018,64,2,13.074,77.445
Depot-40 Gate,5.619,7.363,1.138,383,64,13.069,77.448
Depot-41 Gate,5.213,6.912,1.069,172,42,12.921,77.742
Depot-41 Gunjuru,5.018,6.51,1.021,76,2,12.922,77.743
Depot-42 Gate  Arrival,5.122,6.892,1.024,72,9,12.895,77.706
Depot-43 Gate,5.203,6.912,1.046,127,22,13.066,77.426
Depot-43 Shivanapura,5.015,6.82,1.028,98,3,13.067,77.426
Depot-44 Anjanapura,4.985,6.67,1.018,63,2,12.855,77.57
Depot-45 Gate,6.617,9.112,1.318,1040,74,13.083,77.551
Depot-45 MS Palya,5.069,6.76,1.027,96,2,13.084,77.55
Depot-47 Gate,5.133,6.88,1.017,52,5,13.085,77.732
Depot-47 Manduru,5.071,6.74,1.022,71,5,13.085,77.731
Depot-48 Byrathibande,5.044,6.79,1.016,60,1,13.077,77.654
Depot-48 Gate,5.174,6.822,1.029,82,12,13.078,77.655
Depot-49 Bidadi,5.179,6.945,1.043,161,1,12.802,77.393
Depot-50 Devanahalli,5.066,6.98,1.021,74,2,13.247,77.717
Depot-51 Sadaramangala Arrival,4.83,6.49,1.018,58,5,12.996,77.726
Deshnarayanaswamy Temple,5.097,6.92,1.029,80,13,13.137,77.746
Deva Machohalli Cross,5.285,7.062,1.028,70,16,12.966,77.381
Devagere Cross,5.017,6.69,1.034,79,23,12.864,77.457
Devaiah Park,6.423,8.492,1.313,1057,58,12.996,77.564
Devanagondi,4.849,6.608,1.028,60,22,12.974,77.839
Devanahalli Bypass NH-7,5.532,7.38,1.117,360,38,13.242,77.704
Devanahalli Cross Sulibele,5.318,7.363,1.069,236,11,13.185,77.798
Devanahalli Govt Hospital,5.128,6.75,1.034,107,10,13.257,77.727
Devanahalli New Bus Station,5.845,7.762,1.183,580,52,13.245,77.713
Devanahalli Old Bus Stand,5.489,7.29,1.151,464,49,13.249,77.715
Devanahalli Talluk Office,5.629,7.53,1.116,358,38,13.244,77.709
Devannanapalya,6.093,8.19,1.226,683,78,13.078,77.431
Devarabisanahalli Ring Road,7.114,9.552,1.428,1457,73,12.931,77.687
Devasandra Chikkamaranahalli,5.194,6.905,1.081,270,16,13.036,77.567
Devegowda Hospital,5.248,6.9,1.034,102,13,12.92,77.56
Devegowda Petrol Bunk,6.258,8.072,1.266,864,65,12.921,77.56
Devinagara Cross,6.192,8.112,1.241,725,86,13.047,77.569
Devis Road,5.667,7.68,1.137,329,87,13.004,77.62
Dhaba Gate,5.643,7.525,1.119,364,39,13.226,77.687
Dhobi Ghat Rajajinagara,5.644,7.47,1.125,421,24,12.987,77.551
Dhoopanahalli,5.498,7.238,1.119,394,25,12.964,77.642
Diacon Hospital,5.678,7.752,1.155,500,40,13.004,77.55
Dinnur Main Road,5.658,7.695,1.14,478,24,13.024,77.599
Dinnur Sudhamanagara,5.017,6.58,1.028,80,11,12.714,77.706
Diwanarapalya,6.556,8.558,1.318,988,99,13.027,77.562
Dodda Aladamara,5.211,6.84,1.05,114,35,12.91,77.396
Dodda Aladamara Cross,5.244,7.07,1.043,138,12,12.964,77.407
Dodda Basti,5.273,7.022,1.059,187,17,12.94,77.473
Dodda Bommasandra,5.802,8.088,1.154,515,30,13.06,77.559
Dodda Bommasandra Arch,5.715,7.342,1.154,515,31,13.058,77.559
Dodda Byalakere,5.396,7.11,1.049,118,32,13.114,77.525
Dodda Dunnasandra,5.313,7.082,1.066,130,56,12.977,77.817
Dodda Dunnasandra Cross,5.139,6.89,1.066,130,56,12.976,77.821
Dodda Nekkundi Bridge/Rainbow Hospital,7.135,9.7,1.394,1320,76,12.976,77.697
Doddaballapura Bus Stand,5.299,7.092,1.099,311,29,13.293,77.542
Doddaballapura Railway Station,5.151,6.752,1.077,238,24,13.28,77.552
Doddabidarakallu,5.217,6.902,1.017,59,2,13.036,77.494
Doddajala,5.017,6.732,1.026,72,12,13.177,77.653
Doddakallasandra,5.637,7.672,1.164,413,96,12.886,77.557
Doddakallasandra Metro Station,5.884,7.482,1.163,410,95,12.885,77.553
Doddakannalli,5.842,7.855,1.189,573,65,12.907,77.696
Doddamma Temple,5.149,6.992,1.04,84,31,12.847,77.691
Doddy,5.867,7.752,1.17,481,74,13.17,77.452
Dombarahalli,5.066,6.902,1.031,76,19,13.049,77.46
Dombarahatti Dongadipura Cross,5.016,6.69,1.017,54,4,12.972,77.46
Domlur,6.276,8.58,1.301,895,112,12.961,77.638
Domlur Flyover,6.746,9.2,1.387,1173,133,12.96,77.644
Dommasandra,5.747,7.592,1.204,619,70,12.88,77.754
Dommasandra Circle,6.012,7.992,1.215,640,79,12.883,77.752
Dorekavalu,5.247,6.82,1.018,57,5,13.262,77.686
Double Road BEML Layout,5.61,7.56,1.122,387,35,12.915,77.521
Double Road Indiranagara,5.262,6.81,1.067,183,33,12.978,77.636
Dr BR Ambedkar Bus Terminal (Domlur),5.129,6.772,1.026,82,8,12.962,77.639
Dubasipalya Cross,5.907,8.0,1.221,550,133,12.923,77.496
Dudapanahalli,5.164,6.882,1.02,52,10,12.96,77.296
Durga Parameshwari Temple,5.855,7.533,1.166,536,42,13.082,77.56
Dwaraka Nagara,6.086,8.232,1.192,570,72,13.088,77.495
ELC NICE Road,5.308,7.042,1.047,150,13,12.858,77.659
EMC2,6.554,8.982,1.322,1072,67,12.983,77.693
ESI Hospital Rajajinagara,6.545,8.652,1.31,1028,66,12.991,77.553
East End Jayanagara,7.015,9.178,1.411,1341,97,12.917,77.597
East Point College,5.084,6.99,1.032,87,15,13.051,77.714
East Railway Station,6.06,8.127,1.23,693,81,13.001,77.619
East West College Cross,6.215,8.15,1.242,673,112,12.986,77.486
Echalamara Vidyaranyapura,5.824,7.808,1.169,542,45,13.08,77.559
Eco Space,6.982,9.592,1.428,1457,73,12.928,77.68
Ejipura,5.13,6.808,1.03,95,9,12.947,77.629
Electric B Station,5.03,6.533,1.022,65,9,12.974,77.614
Electronic City,8.081,10.72,1.592,1811,197,12.847,77.671
Electronic City FLY,5.227,6.822,1.04,128,10,12.846,77.672
Electronic City KIA,5.027,6.665,1.035,129,1,12.85,77.662
Electronic City PESIT College,6.757,9.01,1.376,1118,139,12.859,77.662
Electronic City Wipro Main Gate,5.303,7.04,1.108,341,30,12.836,77.657
Elgin Floor Mill,5.366,7.16,1.079,256,20,12.959,77.606
Escorts,6.256,8.272,1.24,621,133,13.103,77.586
Exide Gate,5.32,6.81,1.04,103,22,12.835,77.785
Fairland Shop,5.127,6.912,1.029,93,7,12.95,77.625
Fathima Church,5.785,7.682,1.193,649,36,13.055,77.542
Forest Gate,6.033,8.095,1.206,588,89,12.992,77.46
Forum Mall,6.221,8.182,1.229,705,74,12.96,77.747
Frazer Town,5.848,7.49,1.168,433,94,13.001,77.612
GKVK GATE,7.027,9.262,1.45,1220,222,13.073,77.592
GM Palya,5.369,7.12,1.031,97,10,12.975,77.666
GPO,5.125,6.86,1.036,85,23,12.981,77.594
GR Tech Park ITPL,6.684,8.85,1.349,1019,139,12.987,77.744
Galaxy Paradise (Tent),5.42,7.26,1.088,257,34,12.892,77.626
Ganakal,4.963,6.72,1.024,58,15,12.898,77.512
Ganakal2,4.974,6.662,1.023,81,3,12.898,77.512
Gandhi Bazaar,5.288,7.195,1.065,220,12,12.946,77.57
Gandhi Nagara,5.324,7.045,1.088,238,44,12.79,77.505
Ganesha Bhavan,5.487,7.24,1.12,394,28,12.944,77.564
Ganesha Gudi Nelamangala,5.091,6.732,1.039,109,18,13.084,77.393
Ganesha Temple Chandra Layout,5.27,7.025,1.073,197,36,12.958,77.529
Ganesha Temple Mahalakshmi Layout,5.271,7.052,1.062,201,15,13.009,77.543
Ganesha Temple Mahalaskhmi Layout,5.493,7.32,1.087,278,23,13.009,77.543
Ganesha Temple Sahakara Nagara,5.283,7.092,1.037,99,19,13.063,77.586
Ganesha Temple Tavarekere,5.577,7.505,1.092,228,55,12.967,77.403
Ganesha Temple Thippasandra,5.187,6.802,1.034,100,14,12.972,77.654
Ganesha Temple Vasanthanagara,5.205,6.982,1.051,173,9,12.995,77.592
Ganga International School,5.689,7.48,1.136,469,20,13.028,77.496
Gangadhara Kalyana Mantapa,5.403,7.363,1.097,325,19,13.08,77.511
Gangamma Circle,6.496,8.59,1.331,1077,80,13.058,77.546
Gangappanahalli,5.255,6.972,1.025,65,14,12.959,77.351
Gangenahalli,5.354,7.1,1.073,225,23,12.984,77.392
Gangenahalli Cross,5.254,7.07,1.041,114,19,12.973,77.4
Gangondanahalli,5.056,6.792,1.032,103,9,13.022,77.468
Gantakana Doddy Cross,5.328,6.97,1.038,118,12,12.741,77.488
Garments Factory Borugunte,5.191,7.02,1.04,103,22,12.846,77.783
Garuda Mall,5.624,7.453,1.153,428,70,12.97,77.611
Garudacharpalya,5.858,7.69,1.174,427,107,12.994,77.702
Garudappa Circle Thigalarapalya,5.638,7.392,1.122,421,19,13.016,77.484
Garvebhavipalya,6.712,8.952,1.38,1109,151,12.896,77.636
Gayathri Nagara,5.072,6.7,1.017,50,6,12.998,77.56
Gayathri Nagara Cross,5.204,6.96,1.038,110,16,13.015,77.383
Geddalahalli,6.409,8.402,1.256,747,101,13.031,77.578
Gerahalli,4.955,6.82,1.036,105,14,13.037,77.391
Gerupalya,5.297,7.002,1.06,126,47,12.888,77.444
Gidadakonenahalli Cross,4.95,6.693,1.024,75,8,12.975,77.488
Girinagara,5.038,6.602,1.025,71,11,12.943,77.545
Giriyamma Circle,5.13,6.84,1.039,129,9,13.245,77.714
Glass Factory,6.173,8.132,1.274,819,100,12.877,77.567
Glass House Halage Vaderahalli,5.087,6.642,1.018,64,2,12.907,77.512
Gnana Jyothi school,5.172,6.732,1.054,155,22,13.085,77.739
Gokula,6.343,8.35,1.318,988,99,13.042,77.557
Gollahalli,5.118,6.695,1.053,117,38,13.152,77.725
Gollahalli Cross,5.094,6.795,1.021,56,11,13.15,77.728
Gollahallii Road Junction,5.256,6.97,1.068,200,27,12.908,77.489
Gollarahatti,6.178,8.432,1.234,672,99,12.989,77.473
Gopalapura,5.784,7.598,1.155,487,45,13.141,77.426
Goraguntepalya,7.772,10.225,1.587,1740,221,13.029,77.54
Goraguntepalya  Ring Road,5.418,7.17,1.11,342,34,13.03,77.537
Goripalya,5.144,6.67,1.043,149,6,12.964,77.558
Gorivegere Gate,5.423,7.132,1.076,213,34,13.044,77.76
Gottigere,6.156,8.01,1.252,709,112,12.855,77.589
Govardhan Talkies,7.796,10.44,1.562,1687,202,13.02,77.553
Govindapura Cross,5.845,7.62,1.149,437,58,13.032,77.622
Govindarajanagara,5.683,7.68,1.14,437,42,12.976,77.537
Govt Hospital Vijayapura,5.07,6.59,1.035,108,11,13.296,77.794
Govt Soap Factory,6.351,8.42,1.226,748,48,13.013,77.554
Gowdanapalya,5.574,7.412,1.135,407,47,12.912,77.556
Gowrava Nagara,5.528,7.485,1.108,361,21,12.885,77.583
Gowrenahalli,5.211,6.99,1.038,125,9,12.723,77.681
Grandwell,5.268,7.07,1.056,144,31,13.063,77.74
Graphite India,5.927,7.873,1.232,796,36,12.978,77.711
Graphite Junction,5.272,7.012,1.085,222,46,12.985,77.708
Green Wood High School,5.211,6.972,1.043,103,27,12.901,77.748
Gruhalakshmi Layout,5.566,7.59,1.136,469,20,13.03,77.5
Gubbalala Gate,5.681,7.62,1.162,408,95,12.884,77.551
Gubbi Cross,5.507,7.15,1.111,281,65,13.065,77.652
Guddadahalli,5.125,6.79,1.028,66,19,13.141,77.462
Guddahatti Gate,6.035,8.0,1.192,625,46,12.788,77.736
Gudde Devastana Kamalanagara,5.304,7.302,1.08,286,7,12.995,77.533
Guduvanahalli Gate,5.083,6.832,1.035,108,11,13.281,77.764
Guestline Hotel,5.944,7.652,1.188,617,42,12.787,77.742
Gulaganjahalli Cross,5.117,6.79,1.031,103,7,12.942,77.425
Gulakamale,5.117,6.693,1.028,63,19,12.798,77.524
Gunasheela Hospital,5.253,6.742,1.081,232,34,12.941,77.576
Gundappa Road,5.198,6.81,1.086,302,11,13.043,77.573
Gunjuru,5.642,7.69,1.108,247,75,12.921,77.736
Gurappanapalya,6.19,8.23,1.231,702,79,12.92,77.6
Gurudwara/Lido,5.051,6.75,1.03,74,19,12.975,77.62
HAL Kalyana Mantap,6.322,8.5,1.286,846,108,12.955,77.682
HAL Main Gate,6.566,8.81,1.323,934,133,12.959,77.666
HBR Layout,6.922,9.05,1.368,1163,105,13.035,77.629
HMT Auditorium,5.241,6.832,1.042,127,14,13.049,77.545
HMT Club House,6.083,7.94,1.21,661,61,13.054,77.551
HMT Layout 8th Mile,5.647,7.432,1.134,469,17,13.034,77.504
HMT Layout R T Nagara,5.604,7.39,1.131,451,20,13.025,77.595
HMT Post Office,5.146,6.682,1.038,122,10,13.051,77.542
HMT Watch Factory,5.216,6.87,1.038,122,10,13.05,77.535
HSBC,6.394,8.552,1.237,691,95,12.893,77.599
HSR Lay Out Police Station,5.188,6.752,1.041,148,3,12.92,77.652
HSR Layout Bescom Office,5.13,6.92,1.044,154,5,12.912,77.65
HSR Layout Police Station,4.948,6.52,1.023,81,3,12.92,77.652
Halage Vaderahalli,5.181,6.902,1.036,116,10,12.92,77.514
Halappanahalli,5.487,7.342,1.062,194,18,13.102,77.778
Halasahalli Cross,4.967,6.742,1.029,67,20,12.933,77.758
Halasuru,6.66,8.65,1.331,862,180,12.979,77.629
Halasuru Police Station,5.72,7.555,1.141,390,67,12.975,77.625
Haldenahalli,5.249,6.902,1.028,80,11,12.72,77.713
Hale Chandapura,5.891,8.0,1.198,636,52,12.802,77.711
Hampi Nagara 7th Main,5.44,6.98,1.074,258,9,12.962,77.538
Hampi Nagara Post Office,5.34,7.172,1.07,249,6,12.965,77.538
Hampinagara RPC Layout,5.49,7.363,1.081,281,11,12.959,77.536
Hamsa Farm,5.445,6.97,1.117,281,75,12.982,77.44
Hancharahalli Gate,5.34,7.075,1.048,132,22,13.092,77.742
Handenahalli,5.242,6.962,1.059,134,41,12.958,77.847
Hanuman Temple Beguru,5.292,7.08,1.032,80,19,12.873,77.625
Hanumanthanagara Ward Office,5.346,7.363,1.077,234,26,12.943,77.566
Haragadde,5.212,6.94,1.05,149,18,12.765,77.654
Haragadde Cross,5.43,7.27,1.044,136,13,12.764,77.654
Haraluru Gate,5.072,6.84,1.029,97,6,13.219,77.752
Harapanahalli,5.536,7.453,1.1,276,47,12.792,77.623
Hari Nagara Cross,5.551,7.162,1.128,394,42,12.879,77.567
Harishchandra Ghat,6.452,8.575,1.312,1055,57,12.997,77.561
Harohalli,5.233,6.83,1.078,232,29,12.957,77.786
Harohalli Depot,5.067,6.495,1.032,105,7,12.698,77.478
Harohalli Petrol bunk,5.127,6.873,1.032,105,7,12.687,77.475
Hasigaala,5.481,7.09,1.058,186,15,13.135,77.775
Havanur Circle,5.538,7.373,1.143,489,24,12.988,77.538
Hebbagodi,6.53,8.78,1.324,974,116,12.826,77.683
Hebbala,9.141,12.452,1.844,2590,276,13.039,77.59
Hebbala Bridge,8.601,11.82,1.718,2241,218,13.043,77.591
Heelalige Cross,5.149,6.762,1.025,57,18,12.809,77.709
Hegganahalli,5.563,7.342,1.121,366,42,13.004,77.505
Hegganahalli Cross,5.522,7.462,1.117,359,39,13.0,77.504
Heggondanahalli,5.063,7.035,1.043,103,27,12.906,77.747
Hejjala Cross,5.454,7.283,1.084,213,48,12.855,77.426
Helicopter Division,6.327,8.39,1.286,835,113,12.957,77.675
Hennagara Gate,6.443,8.65,1.314,943,112,12.806,77.699
Hennur,5.486,7.22,1.117,256,86,13.039,77.642
Hennur Bande,5.322,7.13,1.077,172,55,13.037,77.641
Hennur Bande Sai Baba Temple,5.37,7.125,1.068,168,42,13.037,77.641
Hennur Cross,5.775,7.732,1.149,352,98,13.032,77.636
Hennur Junction,7.227,9.622,1.412,1242,146,13.028,77.633
Hennur Petrol Bunk,5.452,7.36,1.076,171,54,13.033,77.637
Hennuru Junction,5.386,7.07,1.08,177,58,13.028,77.633
Hennuru Petrol Bunk,5.054,6.732,1.041,85,32,13.033,77.638
Herohalli Cross,6.451,8.55,1.305,925,105,12.987,77.492
Herohalli Cross1,5.258,6.93,1.099,279,44,12.987,77.492
Herohalli Sunkadakatte,5.383,7.082,1.084,283,15,12.991,77.488
Hesaraghatta,5.25,6.91,1.105,289,50,13.138,77.479
Hesaraghatta TB Cross,5.467,7.3,1.111,302,55,13.13,77.484
High Ground Police Station,5.177,6.972,1.052,181,7,12.989,77.592
High School Sondekoppa,5.226,6.922,1.034,102,13,13.026,77.385
Himagiri,5.916,7.65,1.199,563,88,12.862,77.591
Hiranandani Villas,5.732,7.56,1.119,364,39,13.239,77.7
Hirandahalli,5.231,6.88,1.03,85,14,13.046,77.723
Hittarahalli Gate,5.197,6.84,1.041,119,17,13.123,77.744
Hombalamma Kere,4.981,6.613,1.02,53,10,12.952,77.227
Hommadevanahalli,5.083,6.412,1.048,137,21,12.844,77.598
Hommadevanahalli Cross,5.086,6.91,1.047,133,20,12.841,77.597
Honaganahatti,5.356,6.93,1.092,228,55,12.974,77.421
Hongasandra,5.342,7.27,1.088,258,35,12.897,77.626
Honnakalasapura Cross,5.088,6.94,1.037,123,8,12.729,77.677
Honnenahalli,5.481,7.44,1.117,294,69,13.16,77.567
Hoodi,5.748,7.585,1.176,434,108,12.992,77.716
Hoodi Metro Station,5.241,6.712,1.085,230,43,12.989,77.712
Hope Farm,7.533,10.035,1.558,1669,203,12.984,77.753
Horamavu Signal,7.008,9.34,1.367,1147,111,13.019,77.656
Hosa Doddy Gate,5.363,7.03,1.058,162,26,12.765,77.487
Hosa Hudya,5.452,7.472,1.075,233,23,13.237,77.551
Hosa Road,6.939,9.145,1.438,1301,164,12.87,77.654
Hosa Road FLY,5.253,6.96,1.056,185,13,12.871,77.653
Hosahalli,5.36,7.08,1.092,220,60,12.92,77.742
Hosahalli Cross Devanagondi,4.953,6.623,1.04,76,36,12.975,77.83
Hosakerehalli  Junction,6.293,8.218,1.269,899,54,12.93,77.543
Hosakerehalli Petrol Bunk,5.815,7.703,1.172,555,44,12.934,77.539
Hosakote BEO office,5.689,7.26,1.115,355,36,13.073,77.783
Hosakote Bus Stand (Old),6.116,7.75,1.232,731,68,13.079,77.787
Hosakote Bus Station (TTMC),5.594,7.412,1.113,350,35,13.07,77.785
Hosakote Flower Market,6.007,7.88,1.205,633,65,13.075,77.786
Hosakote Govt Hospital,5.112,6.87,1.032,66,25,13.078,77.802
Hosakote High School,6.112,8.352,1.209,616,81,13.07,77.784
Hosakote K E B Circle,5.768,7.852,1.162,469,66,13.072,77.787
Hosakote Kodi,5.985,7.972,1.206,594,86,13.056,77.768
Hosakote Toll,5.892,7.6,1.198,569,82,13.059,77.771
Hosapalya,5.13,6.88,1.022,53,14,12.925,77.397
Hosapete Gate,5.042,6.65,1.021,55,11,12.951,77.237
Hoskerehalli,5.148,6.812,1.026,91,4,12.931,77.54
Hoskerehalli Cross,5.902,7.59,1.168,554,37,12.932,77.545
Hosmat Hospital,5.46,7.363,1.134,373,61,12.969,77.613
Hosmat Hospital (DIG Office),5.35,7.18,1.09,266,34,12.969,77.615
Hosur Road Junction,6.121,7.932,1.237,643,117,12.932,77.613
Hosur Road junction,6.006,7.99,1.218,675,69,12.933,77.613
Hosuru Bande,5.352,7.242,1.078,202,44,13.106,77.661
Hoysala Nagara,4.957,6.54,1.028,75,14,13.017,77.669
Hulimavu Gate,6.101,8.24,1.246,740,88,12.882,77.596
Hullahalli Cross,5.111,6.778,1.022,56,12,12.828,77.623
Hullegowdanahalli Cross,5.209,6.842,1.035,103,14,13.068,77.395
Hunasamaranahalli,7.403,10.082,1.509,1617,141,13.144,77.618
Hunasemara,6.029,8.042,1.21,581,99,12.92,77.574
Hunnigere Cross,5.046,7.052,1.036,104,15,13.039,77.391
Hurali Chikkanahalli,5.347,7.17,1.085,230,43,13.116,77.483
Huskur Gate,6.611,8.852,1.343,1006,134,12.836,77.679
Hyadalu,5.102,6.623,1.035,82,23,13.14,77.41
Hyundai showroom mysore road,4.956,6.65,1.027,98,2,12.927,77.502
I Gate,5.98,7.865,1.225,778,33,12.977,77.719
IAF Jalahalli,5.717,7.83,1.169,571,31,13.054,77.531
IOC Circle,5.014,6.502,1.017,52,6,13.005,77.637
ITC Factory,7.165,9.535,1.436,1393,117,12.999,77.622
ITI Circle,6.113,8.012,1.185,628,32,13.008,77.683
ITI Colony Gate,7.81,10.552,1.587,1774,205,13.005,77.685
ITI Layout,5.723,7.682,1.167,549,37,12.968,77.502
ITPL,6.98,9.16,1.405,1224,142,12.988,77.737
ITPL Back Gate Big Bazzar,5.387,7.23,1.114,394,17,12.986,77.732
ITPL Metro Station,5.071,6.802,1.029,95,7,12.988,77.737
Ibbaluru,7.122,9.482,1.474,1544,113,12.921,77.662
Ideal Homes,5.457,7.5,1.101,325,26,12.923,77.518
Iggluru,5.348,7.16,1.095,276,39,12.786,77.703
Immadihalli,5.142,6.922,1.02,60,8,12.967,77.763
Inchara Hotel JP Nagar,5.377,7.1,1.101,340,19,12.903,77.586
Income Tax Layout,5.346,7.13,1.077,206,39,12.96,77.531
Income Tax Layout Cross,5.077,6.722,1.026,71,13,12.96,77.533
Income Tax Layout Cross 1,5.333,6.925,1.07,210,25,12.96,77.533
Indian Air Force,7.578,10.1,1.51,1619,142,13.131,77.615
Indian Express,10.09,13.602,2.122,3348,413,12.984,77.597
Indian Oil,5.779,7.732,1.17,537,48,13.005,77.639
Indira Nursing Home,5.5,7.38,1.105,341,26,12.929,77.565
Indiragandhi Circle,5.3,6.992,1.033,117,4,12.911,77.579
Indiranagara,5.735,7.925,1.136,469,20,13.028,77.494
Indiranagara 100ft Road,5.71,7.48,1.118,392,24,12.967,77.641
